,feelslike,humidity,precipitation,pressure,temp,winddir,windspeed,month,isusable,weekday
2014-10-18,15.0,0.8,0.4,1003.0,20.0,255,3.888892,10,False,6
2014-10-19,6.0,0.69,0.0,1013.0,12.0,317,5.277782,10,False,7
2014-10-20,8.0,0.7,0.0,1017.0,14.0,235,3.0555580000000004,10,False,1
2014-10-21,14.0,0.82,4.4,1012.0,18.0,116,2.5000020000000003,10,False,2
2014-10-22,10.0,0.92,14.6,1011.0,13.0,104,6.944450000000002,10,False,3
2014-10-23,8.0,0.86,0.8,1006.0,12.0,254,6.3888940000000005,10,False,4
2014-10-24,11.0,0.8,0.0,1009.0,16.0,297,3.888892,10,False,5
2014-10-25,13.0,0.78,0.0,1008.0,17.0,271,3.888892,10,False,6
2014-10-26,11.0,0.73,0.1,1005.0,15.0,293,5.277782,10,False,7
2014-10-27,11.0,0.74,0.0,1015.0,16.0,277,3.888892,10,False,1
2014-10-28,15.0,0.82,0.0,1015.0,20.0,209,3.0555580000000004,10,False,2
2014-10-29,15.0,0.85,0.3,1012.0,20.0,261,3.611114,10,False,3
2014-10-30,10.0,0.73,0.0,1015.0,14.0,310,3.0555580000000004,10,False,4
2014-11-01,4.0,0.85,6.1,1009.0,9.0,57,6.666672,11,False,6
2014-11-02,1.0,0.71,0.2,1012.0,8.0,332,8.055562,11,False,7
2014-11-03,5.0,0.67,0.0,1020.0,14.0,279,5.555560000000002,11,False,1
2014-11-04,12.0,0.67,0.0,1020.0,18.0,235,3.888892,11,False,2
2014-11-05,13.0,0.7,0.0,1019.0,17.0,254,3.888892,11,False,3
2014-11-06,9.0,0.87,4.9,1011.0,11.0,227,2.222224,11,False,4
2014-11-07,4.0,0.79,0.3,1006.0,10.0,297,6.111116000000001,11,False,5
2014-11-08,3.0,0.71,0.0,1015.0,8.0,249,3.333336,11,False,6
2014-11-09,8.0,0.73,0.0,1014.0,13.0,260,2.7777800000000004,11,False,7
2014-11-10,10.0,0.64,0.0,1020.0,15.0,224,2.222224,11,False,1
2014-11-11,13.0,0.89,0.0,1017.0,16.0,151,2.5000020000000003,11,False,2
2014-11-12,13.0,0.86,0.1,1014.0,17.0,226,3.0555580000000004,11,False,3
2014-11-13,5.0,0.74,2.3,1018.0,8.0,307,2.7777800000000004,11,False,4
2014-11-14,-2.0,0.74,0.6,1018.0,5.0,310,4.722226,11,False,5
2014-11-15,-1.0,0.67,0.0,1026.0,4.0,302,3.611114,11,False,6
2014-11-16,2.0,0.59,0.5,1025.0,6.0,229,2.5000020000000003,11,False,7
2014-11-17,5.0,0.92,16.9,1008.0,10.0,184,2.7777800000000004,11,False,1
2014-11-18,-8.0,0.64,0.0,1012.0,5.0,275,7.777784,11,False,2
2014-11-19,-8.0,0.48,0.0,1022.0,0.0,248,5.555560000000002,11,False,3
2014-11-20,-2.0,0.56,0.0,1014.0,7.0,255,5.555560000000002,11,False,4
2014-11-21,-6.0,0.56,0.0,1026.0,2.0,303,5.277782,11,False,5
2014-11-22,-3.0,0.58,0.0,1029.0,5.0,238,4.444448,11,False,6
2014-11-23,5.0,0.74,0.0,1021.0,12.0,217,3.611114,11,False,7
2014-11-24,15.0,0.93,7.4,1006.0,18.0,185,6.3888940000000005,11,False,1
2014-11-25,11.0,0.75,0.1,1015.0,17.0,265,3.888892,11,False,2
2014-11-26,0.0,0.88,16.3,1016.0,9.0,223,5.8333379999999995,11,False,3
2014-11-27,-2.0,0.89,0.7,1015.0,3.0,305,3.333336,11,False,4
2014-11-28,-6.0,0.79,0.0,1022.0,2.0,311,5.0000040000000014,11,False,5
2014-11-29,-4.0,0.73,0.0,1026.0,2.0,242,2.222224,11,False,6
2014-11-30,5.0,0.84,0.0,1021.0,10.0,212,3.611114,11,False,7
2014-12-01,8.0,0.84,0.5,1022.0,16.0,284,4.722226,12,False,1
2014-12-02,0.0,0.77,1.0,1034.0,6.0,52,5.0000040000000014,12,False,2
2014-12-03,4.0,0.9,0.0,1021.0,7.0,226,4.166670000000001,12,False,3
2014-12-04,0.0,0.73,0.0,1029.0,6.0,270,3.888892,12,False,4
2014-12-05,1.0,0.82,1.2,1033.0,6.0,85,3.333336,12,False,5
2014-12-06,5.0,0.94,10.0,1023.0,8.0,125,3.0555580000000004,12,False,6
2014-12-07,-3.0,0.66,0.2,1031.0,5.0,58,7.500006000000001,12,False,7
2014-12-08,-7.0,0.62,0.1,1036.0,1.0,42,6.111116000000001,12,False,1
2014-12-09,-2.0,0.9,12.1,1013.0,5.0,143,7.500006000000001,12,False,2
2014-12-10,-2.0,0.85,1.0,1003.0,5.0,301,5.8333379999999995,12,False,3
2014-12-11,-4.0,0.83,0.0,1008.0,2.0,267,5.555560000000002,12,False,4
2014-12-12,-5.0,0.81,0.0,1015.0,2.0,300,5.0000040000000014,12,False,5
2014-12-13,-3.0,0.83,0.0,1014.0,5.0,307,5.0000040000000014,12,False,6
2014-12-14,0.0,0.83,0.0,1013.0,7.0,311,4.166670000000001,12,False,7
2014-12-15,3.0,0.84,0.0,1018.0,7.0,271,1.944446,12,False,1
2014-12-16,5.0,0.91,0.2,1017.0,8.0,139,1.944446,12,False,2
2014-12-17,4.0,0.85,0.0,1011.0,11.0,299,4.444448,12,False,3
2014-12-18,-2.0,0.75,0.0,1015.0,5.0,294,6.111116000000001,12,False,4
2014-12-19,-3.0,0.69,0.0,1018.0,3.0,309,4.444448,12,False,5
2014-12-20,-1.0,0.66,0.0,1025.0,1.0,214,1.666668,12,False,6
2014-12-21,-1.0,0.72,0.0,1026.0,2.0,211,2.222224,12,False,7
2014-12-22,1.0,0.9,0.5,1025.0,6.0,75,3.0555580000000004,12,False,1
2014-12-23,4.0,0.93,2.9,1020.0,7.0,44,4.444448,12,False,2
2014-12-24,7.0,0.97,10.2,1011.0,13.0,108,3.611114,12,False,3
2014-12-25,7.0,0.79,2.9,1009.0,14.0,266,5.8333379999999995,12,False,4
2014-12-26,3.0,0.79,0.0,1023.0,8.0,274,3.888892,12,False,5
2014-12-27,6.0,0.84,0.0,1023.0,11.0,245,2.7777800000000004,12,False,6
2014-12-28,6.0,0.85,0.1,1015.0,10.0,267,3.611114,12,False,7
2014-12-29,1.0,0.66,0.0,1022.0,5.0,324,3.611114,12,False,1
2014-12-30,-3.0,0.54,0.0,1028.0,0.0,207,3.0555580000000004,12,False,2
2014-12-31,-6.0,0.52,0.0,1026.0,-1.0,260,4.166670000000001,12,False,3
2015-01-01,-6.0,0.48,0.0,1019.0,2.0,248,6.111116000000001,1,False,4
2015-01-02,-2.0,0.63,0.0,1024.0,5.0,273,5.0000040000000014,1,False,5
2015-01-03,-1.0,0.81,4.8,1031.0,6.0,81,3.888892,1,False,6
2015-01-04,6.0,0.93,4.6,1011.0,11.0,252,4.444448,1,False,7
2015-01-05,-5.0,0.62,0.1,1021.0,6.0,294,7.500006000000001,1,False,1
2015-01-06,-11.0,0.65,0.7,1025.0,-5.0,264,3.0555580000000004,1,False,2
2015-01-07,-16.0,0.72,0.1,1018.0,-5.0,289,7.222228,1,False,3
